model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-baseline,inc case,3,DE,19713,4154,6593,8967,1,30137,1,0.3,0.81,-0.07,1,27,Germany
EuroCOVIDhub-ensemble,inc case,3,DE,17345,6020,2211,9114,0.87,26829,0.89,0.33,0.81,0.14,1,27,Germany
FIAS_FZJ-Epi1Ger,inc case,3,DE,31870,3819,3396,24656,1.68,39937,1.35,0.11,0.52,0.29,1,27,Germany
IEM_Health-CovidProject,inc case,3,DE,26021,8492,4334,13195,1.35,35442,1.2,0.26,0.52,0.06,1,27,Germany
ILM-EKF,inc case,3,DE,24316,10286,2447,11582,1.23,37954,1.27,0.37,0.93,0.14,1,27,Germany
ITWW-county_repro,inc case,3,DE,34787,3033,1493,30261,1.69,42946,1.4,0.07,0.37,0.41,1,27,Germany
Karlen-pypm,inc case,3,DE,29845,6846,2007,20992,1.56,44002,1.49,0.15,0.59,0.34,1,27,Germany
LANL-GrowthRate,inc case,3,DE,17392,7914,5684,3793,0.86,26785,0.87,0.38,0.73,-0.15,1,26,Germany
MIT_CovidAnalytics-DELPHI,inc case,3,DE,14659,5006,9250,403,0.72,21444,0.68,0.43,0.7,-0.42,1,23,Germany
UNIPV-BayesINGARCHX,inc case,3,DE,19711,1239,7074,11399,1,21975,0.73,0.19,0.19,-0.08,1,26,Germany
USC-SIkJalpha,inc case,3,DE,23494,4109,7261,12123,1.19,28069,0.93,0.11,0.11,0.09,1,27,Germany
epiforecasts-EpiNow2,inc case,3,DE,25200,11550,3157,10492,1.27,34793,1.16,0.41,0.78,0.13,1,27,Germany
itwm-dSEIR,inc case,3,DE,20681,4655,2226,13801,1.03,30760,1.02,0.26,0.78,0.15,1,27,Germany
EuroCOVIDhub-baseline,inc case,4,DE,24743,4966,7847,11930,1,37614,1,0.31,0.77,-0.08,1,26,Germany
EuroCOVIDhub-ensemble,inc case,4,DE,24686,8824,2542,13319,0.98,36425,0.97,0.31,0.73,0.15,1,26,Germany
FIAS_FZJ-Epi1Ger,inc case,4,DE,48410,5548,3651,39211,2.09,59618,1.63,0.23,0.54,0.18,1,26,Germany
IEM_Health-CovidProject,inc case,4,DE,35872,11786,6256,17830,1.49,50626,1.37,0.27,0.5,0.05,1,26,Germany
ILM-EKF,inc case,4,DE,38749,17353,2888,18509,1.56,58494,1.55,0.38,0.77,0.12,1,26,Germany
ITWW-county_repro,inc case,4,DE,52773,5156,1205,46411,2.01,64377,1.66,0.15,0.35,0.45,1,26,Germany
Karlen-pypm,inc case,4,DE,45858,10262,2774,32821,1.85,65873,1.73,0.08,0.58,0.31,1,26,Germany
LANL-GrowthRate,inc case,4,DE,21421,8544,7685,5193,0.86,32102,0.84,0.24,0.76,-0.16,1,25,Germany
UNIPV-BayesINGARCHX,inc case,4,DE,25241,1361,7400,16479,0.97,28051,0.72,0.16,0.16,0.08,1,25,Germany
USC-SIkJalpha,inc case,4,DE,30280,5134,9376,15770,1.23,35310,0.93,0.15,0.23,0.04,1,26,Germany
epiforecasts-EpiExpert,inc case,4,DE,24430,5727,2897,15805,1.06,35141,0.97,0.31,0.65,0.23,1,26,Germany
epiforecasts-EpiNow2,inc case,4,DE,35775,17354,3448,14973,1.46,47195,1.25,0.38,0.73,0.1,1,26,Germany
itwm-dSEIR,inc case,4,DE,31723,8284,2753,20687,1.27,48105,1.26,0.31,0.81,0.07,1,26,Germany
HZI-AgeExtendedSEIR,inc case,1,DE,4022,1004,353,2665,0.61,10028,0.77,0.32,0.95,0.04,1,28,Germany
HZI-AgeExtendedSEIR,inc case,2,DE,11009,1831,694,8484,0.95,19006,0.89,0.33,0.71,0.25,1,27,Germany
MUNI-ARIMA,inc case,1,DE,3868,1398,614,1857,0.66,6236,0.72,0.57,0.9,0.12,1,21,Germany
HZI-AgeExtendedSEIR,inc case,3,DE,21460,2302,1531,17627,1.27,31518,1.07,0.25,0.75,0.23,1,26,Germany
MUNI-ARIMA,inc case,2,DE,8211,2785,950,4476,0.81,13189,0.86,0.4,0.9,-0.01,1,20,Germany
epiforecasts-EpiExpert_Rt,inc case,4,DE,21665,5022,3030,13613,0.93,30280,0.84,0.47,0.74,0.09,1,19,Germany
HZI-AgeExtendedSEIR,inc case,4,DE,32464,2997,2504,26963,1.56,47322,1.27,0.16,0.74,0.18,1,25,Germany
RobertWalraven-ESG,inc case,1,DE,5299,1149,2083,2067,1.14,11674,0.95,0.34,0.59,-0.26,1,29,Germany
epiforecasts-EpiExpert_direct,inc case,4,DE,28501,4718,2488,21296,1.38,39229,1.26,0.16,0.47,0.22,1,19,Germany
MUNI-ARIMA,inc case,3,DE,11237,3780,2144,5313,0.82,18738,0.91,0.33,0.89,-0.14,1,18,Germany
RobertWalraven-ESG,inc case,2,DE,9954,1329,5416,3209,1.16,21857,1.01,0.25,0.36,-0.26,1,28,Germany
CovidMetrics-epiBATS,inc case,1,DE,3210,1671,999,540,0.74,4900,0.76,0.65,1,-0.06,1,17,Germany
MUNI-ARIMA,inc case,4,DE,12971,4619,3680,4672,0.73,21310,0.8,0.41,0.94,-0.23,1,17,Germany
RobertWalraven-ESG,inc case,3,DE,13206,1503,9210,2493,0.99,31942,1.03,0.19,0.26,-0.37,1,27,Germany
CovidMetrics-epiBATS,inc case,2,DE,6534,3522,2230,782,0.76,10478,0.82,0.69,1,-0.1,1,16,Germany
RobertWalraven-ESG,inc case,4,DE,16240,1614,13642,985,0.94,40104,1.01,0.19,0.27,-0.48,1,26,Germany
CovidMetrics-epiBATS,inc case,3,DE,9405,4803,4011,591,0.64,15121,0.7,0.71,1,-0.22,1,14,Germany
CovidMetrics-epiBATS,inc case,4,DE,11752,5750,5668,334,0.6,19763,0.7,0.69,1,-0.3,1,13,Germany
EuroCOVIDhub-baseline,inc death,1,DE,82,40,11,32,1,113,1,0.59,1,0.17,1,29,Germany
EuroCOVIDhub-ensemble,inc death,1,DE,53,36,8,9,0.62,77,0.66,0.79,1,0,1,29,Germany
FIAS_FZJ-Epi1Ger,inc death,1,DE,155,8,41,105,1.75,184,1.53,0.07,0.21,0.04,1,29,Germany
IEM_Health-CovidProject,inc death,1,DE,94,61,29,5,1.09,141,1.21,0.62,0.97,-0.19,1,29,Germany
ILM-EKF,inc death,1,DE,82,59,3,20,0.97,106,0.9,0.83,0.97,0.13,1,29,Germany
ITWW-county_repro,inc death,1,DE,94,5,82,8,1.1,111,0.97,0.07,0.34,-0.55,1,29,Germany
Karlen-pypm,inc death,1,DE,68,35,7,26,0.82,113,1,0.48,1,0.19,1,29,Germany
LANL-GrowthRate,inc death,1,DE,72,23,43,6,0.84,110,0.97,0.46,0.93,-0.24,1,28,Germany
MIT_CovidAnalytics-DELPHI,inc death,1,DE,76,43,22,10,0.88,112,0.96,0.62,0.93,-0.21,1,29,Germany
RobertWalraven-ESG,inc death,1,DE,69,33,30,6,0.79,104,0.89,0.76,0.97,-0.19,1,29,Germany
USC-SIkJalpha,inc death,1,DE,76,43,9,24,0.88,98,0.84,0.45,0.59,0.3,1,29,Germany
epiforecasts-EpiNow2,inc death,1,DE,139,54,18,67,1.58,216,1.82,0.38,0.86,0.13,1,29,Germany
itwm-dSEIR,inc death,1,DE,76,26,20,29,0.92,113,1.02,0.34,0.79,0.14,1,29,Germany
EuroCOVIDhub-baseline,inc death,2,DE,132,78,14,40,1,198,1,0.86,1,0.14,1,28,Germany
EuroCOVIDhub-ensemble,inc death,2,DE,76,48,8,20,0.54,115,0.55,0.71,0.96,0.13,1,28,Germany
FIAS_FZJ-Epi1Ger,inc death,2,DE,227,20,40,167,1.57,290,1.36,0.04,0.32,0.12,1,28,Germany
IEM_Health-CovidProject,inc death,2,DE,140,75,52,13,1.01,223,1.09,0.57,0.89,-0.14,1,28,Germany
ILM-EKF,inc death,2,DE,129,74,6,50,0.93,192,0.92,0.68,0.96,0.16,1,28,Germany
ITWW-county_repro,inc death,2,DE,93,7,48,37,0.68,116,0.58,0.04,0.21,-0.18,1,28,Germany
Karlen-pypm,inc death,2,DE,111,46,8,57,0.82,177,0.87,0.36,0.89,0.24,1,28,Germany
LANL-GrowthRate,inc death,2,DE,106,32,63,11,0.73,167,0.81,0.48,0.93,-0.32,1,27,Germany
MIT_CovidAnalytics-DELPHI,inc death,2,DE,118,61,26,31,0.85,189,0.91,0.46,0.89,-0.09,1,28,Germany
RobertWalraven-ESG,inc death,2,DE,123,41,70,12,0.85,179,0.85,0.54,0.93,-0.13,1,28,Germany
USC-SIkJalpha,inc death,2,DE,111,51,11,49,0.81,172,0.82,0.54,0.61,0.25,1,28,Germany
epiforecasts-EpiNow2,inc death,2,DE,208,74,14,120,1.45,317,1.5,0.36,0.82,0.24,1,28,Germany
itwm-dSEIR,inc death,2,DE,102,37,24,41,0.77,151,0.77,0.32,0.75,0.17,1,28,Germany
EuroCOVIDhub-baseline,inc death,3,DE,175,105,15,55,1,273,1,0.74,1,0.17,1,27,Germany
EuroCOVIDhub-ensemble,inc death,3,DE,104,63,7,34,0.55,159,0.54,0.63,0.93,0.21,1,27,Germany
FIAS_FZJ-Epi1Ger,inc death,3,DE,306,35,35,236,1.58,400,1.34,0.04,0.37,0.18,1,27,Germany
IEM_Health-CovidProject,inc death,3,DE,198,90,77,30,1.07,322,1.13,0.48,0.93,-0.06,1,27,Germany
ILM-EKF,inc death,3,DE,196,94,10,92,1.04,307,1.05,0.44,0.93,0.19,1,27,Germany
ITWW-county_repro,inc death,3,DE,132,13,29,90,0.7,168,0.58,0.15,0.37,0.18,1,27,Germany
Karlen-pypm,inc death,3,DE,169,60,8,101,0.91,270,0.93,0.15,0.81,0.3,1,27,Germany
LANL-GrowthRate,inc death,3,DE,143,41,80,21,0.72,229,0.79,0.31,0.96,-0.28,1,26,Germany
MIT_CovidAnalytics-DELPHI,inc death,3,DE,129,76,35,18,0.71,192,0.69,0.67,0.85,-0.12,1,27,Germany
RobertWalraven-ESG,inc death,3,DE,181,48,107,26,0.92,268,0.91,0.44,0.89,-0.15,1,27,Germany
USC-SIkJalpha,inc death,3,DE,157,59,9,90,0.86,244,0.84,0.41,0.52,0.34,1,27,Germany
epiforecasts-EpiNow2,inc death,3,DE,300,113,13,174,1.57,453,1.55,0.3,0.81,0.28,1,27,Germany
itwm-dSEIR,inc death,3,DE,144,50,27,68,0.81,210,0.76,0.19,0.7,0.2,1,27,Germany
EuroCOVIDhub-baseline,inc death,4,DE,213,127,15,72,1,342,1,0.69,1,0.17,1,26,Germany
EuroCOVIDhub-ensemble,inc death,4,DE,139,84,5,50,0.59,211,0.57,0.58,1,0.28,1,26,Germany
FIAS_FZJ-Epi1Ger,inc death,4,DE,400,55,29,315,1.69,526,1.38,0.15,0.38,0.27,1,26,Germany
IEM_Health-CovidProject,inc death,4,DE,264,105,105,53,1.13,427,1.14,0.42,0.92,-0.03,1,26,Germany
ILM-EKF,inc death,4,DE,290,132,12,146,1.23,460,1.22,0.35,0.88,0.17,1,26,Germany
ITWW-county_repro,inc death,4,DE,225,23,16,186,0.9,288,0.75,0.08,0.31,0.31,1,26,Germany
Karlen-pypm,inc death,4,DE,263,81,10,173,1.12,412,1.1,0.19,0.69,0.31,1,26,Germany
LANL-GrowthRate,inc death,4,DE,181,52,95,33,0.71,298,0.77,0.44,0.92,-0.3,1,25,Germany
MIT_CovidAnalytics-DELPHI,inc death,4,DE,149,89,44,16,0.66,204,0.59,0.62,0.88,-0.16,1,26,Germany
RobertWalraven-ESG,inc death,4,DE,240,54,145,41,0.93,358,0.9,0.46,0.85,-0.14,1,26,Germany
UMass-MechBayes,inc death,1,DE,71,36,31,4,0.92,120,1.23,0.5,1,-0.4,1,26,Germany
USC-SIkJalpha,inc death,4,DE,199,76,11,111,0.87,306,0.82,0.38,0.46,0.25,1,26,Germany
epiforecasts-EpiExpert,inc death,4,DE,171,54,19,98,0.79,271,0.78,0.31,0.81,0.36,1,26,Germany
epiforecasts-EpiNow2,inc death,4,DE,424,190,16,217,1.81,621,1.67,0.19,0.88,0.28,1,26,Germany
itwm-dSEIR,inc death,4,DE,216,74,33,110,0.96,317,0.89,0.27,0.77,0.18,1,26,Germany
UMass-MechBayes,inc death,2,DE,84,40,42,2,0.68,137,0.81,0.36,0.96,-0.44,1,25,Germany
UMass-MechBayes,inc death,3,DE,97,46,49,2,0.58,154,0.64,0.33,0.96,-0.5,1,24,Germany
UMass-MechBayes,inc death,4,DE,102,57,44,2,0.47,149,0.46,0.39,0.91,-0.48,1,23,Germany
HZI-AgeExtendedSEIR,inc death,1,DE,28,16,4,8,0.52,73,0.67,0.5,1,0.04,1,28,Germany
HZI-AgeExtendedSEIR,inc death,2,DE,49,23,8,18,0.58,125,0.64,0.62,1,0.09,1,27,Germany
MUNI-ARIMA,inc death,1,DE,55,33,3,18,1.07,83,1.27,0.57,1,0.16,1,21,Germany
HZI-AgeExtendedSEIR,inc death,3,DE,77,34,8,35,0.66,167,0.6,0.7,1,0.14,1,26,Germany
MUNI-ARIMA,inc death,2,DE,85,51,7,28,1.04,143,1.24,0.6,1,0.1,1,20,Germany
epiforecasts-EpiExpert_Rt,inc death,4,DE,298,69,23,206,1.8,441,1.67,0.11,0.53,0.15,1,19,Germany
HZI-AgeExtendedSEIR,inc death,4,DE,101,43,7,52,0.69,196,0.55,0.74,1,0.19,1,25,Germany
epiforecasts-EpiExpert_direct,inc death,4,DE,104,29,9,67,0.72,154,0.68,0.37,0.74,0.35,1,19,Germany
MUNI-ARIMA,inc death,3,DE,112,64,12,36,1.15,192,1.35,0.67,1,0.04,1,18,Germany
MUNI-ARIMA,inc death,4,DE,143,79,19,46,1.15,241,1.28,0.53,1,0.04,1,17,Germany
EuroCOVIDhub-baseline,inc case,1,DK,759,177,292,290,1,1132,1,0.31,1,0.09,1,29,Denmark
EuroCOVIDhub-ensemble,inc case,1,DK,689,252,191,246,0.9,1027,0.91,0.48,0.79,0.04,1,29,Denmark
IEM_Health-CovidProject,inc case,1,DK,860,229,252,379,1.17,1138,1.02,0.41,0.62,0.2,1,29,Denmark
ILM-EKF,inc case,1,DK,969,281,305,384,1.36,1434,1.32,0.41,0.79,0.18,1,29,Denmark
LANL-GrowthRate,inc case,1,DK,710,281,208,221,0.96,960,0.86,0.57,0.86,-0.23,1,28,Denmark
USC-SIkJalpha,inc case,1,DK,981,178,501,302,1.4,1200,1.11,0.21,0.38,-0.08,1,29,Denmark
epiforecasts-EpiNow2,inc case,1,DK,930,385,210,335,1.26,1349,1.21,0.59,0.83,0.01,1,29,Denmark
EuroCOVIDhub-baseline,inc case,2,DK,1055,345,300,410,1,1673,1,0.43,1,0,1,28,Denmark
EuroCOVIDhub-ensemble,inc case,2,DK,1115,413,250,452,1.06,1660,1,0.5,0.86,0.1,1,28,Denmark
IEM_Health-CovidProject,inc case,2,DK,1403,336,358,709,1.36,1873,1.12,0.32,0.57,0.21,1,28,Denmark
ILM-EKF,inc case,2,DK,1588,483,401,704,1.6,2315,1.46,0.36,0.79,0.22,1,28,Denmark
LANL-GrowthRate,inc case,2,DK,1126,410,301,415,1.15,1575,1.02,0.56,0.85,-0.1,1,27,Denmark
USC-SIkJalpha,inc case,2,DK,1482,194,832,457,1.53,1926,1.23,0.32,0.43,-0.04,1,28,Denmark
epiforecasts-EpiNow2,inc case,2,DK,1924,867,331,726,1.99,2756,1.76,0.5,0.86,-0.01,1,28,Denmark
EuroCOVIDhub-baseline,inc case,3,DK,1296,480,338,478,1,2079,1,0.37,1,0.02,1,27,Denmark
EuroCOVIDhub-ensemble,inc case,3,DK,1636,629,369,638,1.28,2367,1.15,0.44,0.81,0.17,1,27,Denmark
IEM_Health-CovidProject,inc case,3,DK,1919,489,472,958,1.53,2527,1.24,0.37,0.63,0.26,1,27,Denmark
ILM-EKF,inc case,3,DK,2409,774,534,1102,1.98,3506,1.79,0.41,0.78,0.26,1,27,Denmark
LANL-GrowthRate,inc case,3,DK,1490,531,450,510,1.23,2126,1.08,0.5,0.77,-0.01,1,26,Denmark
USC-SIkJalpha,inc case,3,DK,2120,224,1188,708,1.72,2755,1.38,0.11,0.22,-0.13,1,27,Denmark
epiforecasts-EpiNow2,inc case,3,DK,3464,1727,593,1144,2.98,4757,2.49,0.52,0.85,0.07,1,27,Denmark
EuroCOVIDhub-baseline,inc case,4,DK,1538,593,408,537,1,2482,1,0.46,1,-0.01,1,26,Denmark
EuroCOVIDhub-ensemble,inc case,4,DK,2130,859,488,782,1.39,3120,1.27,0.46,0.85,0.14,1,26,Denmark
IEM_Health-CovidProject,inc case,4,DK,2447,709,603,1135,1.65,3253,1.36,0.42,0.62,0.18,1,26,Denmark
ILM-EKF,inc case,4,DK,3557,1190,701,1666,2.53,5235,2.29,0.31,0.77,0.22,1,26,Denmark
LANL-GrowthRate,inc case,4,DK,1671,599,595,477,1.15,2435,1.03,0.32,0.76,-0.04,1,25,Denmark
USC-SIkJalpha,inc case,4,DK,2677,294,1443,941,1.83,3412,1.44,0.12,0.19,-0.1,1,26,Denmark
epiforecasts-EpiNow2,inc case,4,DK,5150,2575,773,1802,3.8,7429,3.34,0.42,0.85,0.08,1,26,Denmark
MUNI-ARIMA,inc case,1,DK,539,205,229,105,0.71,826,0.73,0.48,0.9,-0.01,1,21,Denmark
MUNI-ARIMA,inc case,2,DK,967,431,296,239,0.79,1447,0.75,0.6,0.9,0.05,1,20,Denmark
RobertWalraven-ESG,inc case,1,DK,825,132,412,282,1.14,1137,1.01,0.38,0.66,0,1,29,Denmark
MUNI-ARIMA,inc case,3,DK,1453,611,418,423,0.88,2274,0.86,0.44,0.94,0.06,1,18,Denmark
RobertWalraven-ESG,inc case,2,DK,1424,158,759,507,1.14,1745,1.03,0.21,0.64,-0.12,1,28,Denmark
MUNI-ARIMA,inc case,4,DK,1827,776,469,582,0.95,3014,0.97,0.35,1,0.06,1,17,Denmark
RobertWalraven-ESG,inc case,3,DK,2088,183,1132,772,1.23,2264,1.07,0.15,0.52,-0.22,1,27,Denmark
RobertWalraven-ESG,inc case,4,DK,2628,203,1510,915,1.3,2913,1.14,0.12,0.35,-0.27,1,26,Denmark
Karlen-pypm,inc case,1,DK,952,434,143,375,1.34,1566,1.37,0.64,0.91,0.08,1,11,Denmark
Karlen-pypm,inc case,2,DK,1817,632,216,969,1.81,2902,1.66,0.2,0.8,0.27,1,10,Denmark
Karlen-pypm,inc case,3,DK,3258,893,385,1979,2.31,5102,2.1,0.22,0.78,0.27,1,9,Denmark
Karlen-pypm,inc case,4,DK,4840,1190,446,3204,2.9,7491,2.6,0,0.75,0.23,1,8,Denmark
EuroCOVIDhub-baseline,inc death,1,DK,3,1,1,1,1,4,1,0.69,1,0.01,1,29,Denmark
EuroCOVIDhub-ensemble,inc death,1,DK,3,1,1,1,0.89,4,0.92,0.55,0.97,0.06,1,29,Denmark
IEM_Health-CovidProject,inc death,1,DK,3,1,1,1,1.04,5,1.09,0.31,0.69,0.02,1,29,Denmark
ILM-EKF,inc death,1,DK,5,4,0,0,1.63,4,0.88,0.83,1,0.13,1,29,Denmark
LANL-GrowthRate,inc death,1,DK,2,1,1,0,0.78,3,0.76,0.57,0.96,-0.06,1,28,Denmark
RobertWalraven-ESG,inc death,1,DK,3,1,1,1,0.9,4,0.94,0.38,1,-0.01,1,29,Denmark
USC-SIkJalpha,inc death,1,DK,3,1,1,1,1.2,4,0.93,0.28,0.41,0.03,1,29,Denmark
epiforecasts-EpiNow2,inc death,1,DK,3,1,1,1,1.08,5,1.08,0.38,0.86,0.11,1,29,Denmark
EuroCOVIDhub-baseline,inc death,2,DK,4,3,0,0,1,4,1,0.86,1,-0.02,1,28,Denmark
EuroCOVIDhub-ensemble,inc death,2,DK,3,1,1,1,0.8,4,0.89,0.57,0.96,0.07,1,28,Denmark
IEM_Health-CovidProject,inc death,2,DK,3,1,1,1,0.81,5,1.04,0.46,0.89,0.02,1,28,Denmark
ILM-EKF,inc death,2,DK,5,5,0,1,1.55,4,0.94,0.82,1,0.14,1,28,Denmark
LANL-GrowthRate,inc death,2,DK,3,1,1,1,0.83,4,1.03,0.52,0.85,-0.04,1,27,Denmark
RobertWalraven-ESG,inc death,2,DK,3,1,1,1,0.84,5,1.07,0.54,0.93,-0.12,1,28,Denmark
USC-SIkJalpha,inc death,2,DK,4,1,1,1,0.98,4,0.95,0.39,0.5,0.02,1,28,Denmark
epiforecasts-EpiNow2,inc death,2,DK,4,1,1,2,1.16,6,1.34,0.43,0.86,0.14,1,28,Denmark
EuroCOVIDhub-baseline,inc death,3,DK,4,4,0,0,1,5,1,0.93,1,-0.02,1,27,Denmark
EuroCOVIDhub-ensemble,inc death,3,DK,3,2,1,1,0.78,5,1,0.56,0.93,0.07,1,27,Denmark
IEM_Health-CovidProject,inc death,3,DK,5,1,1,2,1.08,7,1.54,0.33,0.89,-0.02,1,27,Denmark
ILM-EKF,inc death,3,DK,6,5,0,1,1.55,5,1.14,0.85,1,0.14,1,27,Denmark
LANL-GrowthRate,inc death,3,DK,4,1,2,1,0.84,5,1.17,0.31,0.73,-0.07,1,26,Denmark
RobertWalraven-ESG,inc death,3,DK,3,1,1,1,0.8,5,1.11,0.63,0.89,-0.18,1,27,Denmark
USC-SIkJalpha,inc death,3,DK,4,1,2,2,0.99,5,1.06,0.26,0.41,-0.07,1,27,Denmark
epiforecasts-EpiNow2,inc death,3,DK,6,2,1,2,1.28,8,1.73,0.33,0.85,0.18,1,27,Denmark
EuroCOVIDhub-baseline,inc death,4,DK,5,4,0,0,1,5,1,1,1,-0.03,1,26,Denmark
EuroCOVIDhub-ensemble,inc death,4,DK,4,2,1,1,0.82,6,1.11,0.58,0.88,0.09,1,26,Denmark
IEM_Health-CovidProject,inc death,4,DK,6,2,2,3,1.32,10,1.89,0.31,0.85,-0.03,1,26,Denmark
ILM-EKF,inc death,4,DK,8,7,0,1,1.69,6,1.15,0.77,1,0.18,1,26,Denmark
LANL-GrowthRate,inc death,4,DK,4,1,2,1,0.83,6,1.18,0.28,0.76,-0.07,1,25,Denmark
RobertWalraven-ESG,inc death,4,DK,4,2,2,1,0.77,6,1.19,0.65,0.92,-0.22,1,26,Denmark
UMass-MechBayes,inc death,1,DK,3,1,1,1,0.96,4,0.93,0.46,0.85,0.14,1,26,Denmark
USC-SIkJalpha,inc death,4,DK,5,1,2,2,0.98,6,1.16,0.27,0.46,-0.03,1,26,Denmark
epiforecasts-EpiNow2,inc death,4,DK,7,3,1,3,1.51,10,1.97,0.31,0.88,0.26,1,26,Denmark
UMass-MechBayes,inc death,2,DK,3,1,1,1,0.89,5,1.07,0.44,0.84,0.16,1,25,Denmark
UMass-MechBayes,inc death,3,DK,3,1,1,1,0.84,5,1.16,0.38,0.88,0.11,1,24,Denmark
UMass-MechBayes,inc death,4,DK,4,2,1,2,0.89,7,1.32,0.35,0.91,0.16,1,23,Denmark
MUNI-ARIMA,inc death,1,DK,3,1,1,1,1.1,5,1.23,0.38,1,0.07,1,21,Denmark
MUNI-ARIMA,inc death,2,DK,3,2,0,1,0.9,5,1.21,0.7,1,0.04,1,20,Denmark
MUNI-ARIMA,inc death,3,DK,3,2,1,0,0.89,5,1.28,0.67,1,-0.04,1,18,Denmark
MUNI-ARIMA,inc death,4,DK,4,3,1,1,0.81,5,1.14,0.71,1,-0.05,1,17,Denmark
Karlen-pypm,inc death,1,DK,3,1,2,0,1,4,0.92,0.45,0.91,-0.39,1,11,Denmark
Karlen-pypm,inc death,2,DK,3,1,2,0,0.95,4,1.05,0.4,0.9,-0.39,1,10,Denmark
Karlen-pypm,inc death,3,DK,4,1,3,0,0.9,6,1.27,0.22,0.78,-0.52,1,9,Denmark
Karlen-pypm,inc death,4,DK,5,1,3,1,0.9,8,1.54,0,0.88,-0.47,1,8,Denmark
EuroCOVIDhub-baseline,inc hosp,1,DK,19,8,5,5,1,26,1,0.5,1,-0.06,1,8,Denmark
EuroCOVIDhub-baseline,inc hosp,2,DK,32,15,10,6,1,48,1,0.43,1,-0.16,1,7,Denmark
EuroCOVIDhub-baseline,inc hosp,3,DK,42,21,15,6,1,72,1,0.5,1,-0.23,1,6,Denmark
Karlen-pypm,inc hosp,1,DK,27,8,15,4,1.21,38,1.03,0.33,0.67,-0.32,1,6,Denmark
EuroCOVIDhub-baseline,inc hosp,4,DK,48,25,18,5,1,84,1,0.2,1,-0.28,1,5,Denmark
Karlen-pypm,inc hosp,2,DK,37,10,23,4,1.03,51,0.92,0.2,0.8,-0.3,1,5,Denmark
Karlen-pypm,inc hosp,3,DK,41,10,26,4,1,54,0.79,0.25,0.75,-0.28,1,4,Denmark
Karlen-pypm,inc hosp,4,DK,50,11,35,4,1.15,58,0.82,0.33,0.67,-0.13,1,3,Denmark
EuroCOVIDhub-baseline,inc case,1,EE,371,43,85,242,1,501,1,0.24,0.86,0.05,1,29,Estonia
EuroCOVIDhub-ensemble,inc case,1,EE,236,130,30,76,0.63,344,0.67,0.52,0.97,0.05,1,29,Estonia
IEM_Health-CovidProject,inc case,1,EE,322,116,33,173,0.81,537,0.98,0.41,0.9,0.09,1,29,Estonia
ILM-EKF,inc case,1,EE,468,165,74,229,1.38,746,1.51,0.38,0.9,0.12,1,29,Estonia
LANL-GrowthRate,inc case,1,EE,277,125,113,40,0.8,469,0.94,0.43,0.96,-0.39,1,28,Estonia
USC-SIkJalpha,inc case,1,EE,430,203,128,100,1.12,634,1.17,0.28,0.52,0.1,1,29,Estonia
epiforecasts-EpiNow2,inc case,1,EE,276,106,64,106,0.83,436,0.88,0.38,0.9,-0.09,1,29,Estonia
EuroCOVIDhub-baseline,inc case,2,EE,701,90,115,497,1,970,1,0.18,0.89,0.09,1,28,Estonia
EuroCOVIDhub-ensemble,inc case,2,EE,446,188,49,210,0.61,678,0.63,0.46,0.89,0.05,1,28,Estonia
IEM_Health-CovidProject,inc case,2,EE,664,155,67,442,0.87,981,0.87,0.36,0.68,0.11,1,28,Estonia
ILM-EKF,inc case,2,EE,937,264,125,548,1.47,1445,1.52,0.21,0.79,0.12,1,28,Estonia
LANL-GrowthRate,inc case,2,EE,511,176,124,211,0.74,824,0.83,0.48,0.89,-0.27,1,27,Estonia
USC-SIkJalpha,inc case,2,EE,572,225,137,211,0.82,774,0.76,0.25,0.5,-0.05,1,28,Estonia
epiforecasts-EpiNow2,inc case,2,EE,559,198,100,261,0.94,798,0.82,0.46,0.82,-0.07,1,28,Estonia
EuroCOVIDhub-baseline,inc case,3,EE,1024,128,139,757,1,1400,1,0.15,0.81,0.16,1,27,Estonia
EuroCOVIDhub-ensemble,inc case,3,EE,743,261,81,401,0.7,1145,0.76,0.37,0.81,0.06,1,27,Estonia
IEM_Health-CovidProject,inc case,3,EE,1130,207,119,804,1.02,1555,1.01,0.37,0.59,0.12,1,27,Estonia
ILM-EKF,inc case,3,EE,1547,406,185,956,1.69,2345,1.72,0.19,0.7,0.12,1,27,Estonia
LANL-GrowthRate,inc case,3,EE,779,238,156,385,0.77,1145,0.78,0.38,0.77,-0.14,1,26,Estonia
USC-SIkJalpha,inc case,3,EE,751,239,188,324,0.82,888,0.65,0.22,0.41,-0.16,1,27,Estonia
epiforecasts-EpiNow2,inc case,3,EE,959,303,167,490,1.19,1422,1.1,0.33,0.78,-0.13,1,27,Estonia
EuroCOVIDhub-baseline,inc case,4,EE,1363,161,178,1024,1,1862,1,0.15,0.81,0.18,1,26,Estonia
EuroCOVIDhub-ensemble,inc case,4,EE,1034,335,111,588,0.73,1529,0.75,0.46,0.73,0.07,1,26,Estonia
IEM_Health-CovidProject,inc case,4,EE,1643,276,189,1179,1.14,2209,1.09,0.23,0.54,0.11,1,26,Estonia
ILM-EKF,inc case,4,EE,2226,606,250,1369,1.9,3331,1.89,0.15,0.69,0.07,1,26,Estonia
