model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
UMass-MechBayes,inc death,2,DE,85,40,43,2,0.68,139,0.82,0.38,0.96,-0.43,1,24,Germany
USC-SIkJalpha,inc death,5,DE,262,100,16,146,NA,388,NA,0.38,0.42,0.22,1,24,Germany
LANL-GrowthRate,inc death,6,DE,233,76,102,56,NA,400,NA,0.23,0.91,-0.05,1,22,Germany
UMass-MechBayes,inc death,3,DE,98,47,49,2,0.55,155,0.61,0.35,0.96,-0.49,1,23,Germany
UMass-MechBayes,inc death,4,DE,105,57,45,2,0.48,153,0.47,0.36,0.91,-0.49,1,22,Germany
HZI-AgeExtendedSEIR,inc death,1,DE,28,16,4,8,0.52,74,0.67,0.52,1,0.08,1,27,Germany
HZI-AgeExtendedSEIR,inc death,2,DE,49,23,7,19,0.58,126,0.64,0.65,1,0.12,1,26,Germany
MUNI-ARIMA,inc death,1,DE,56,33,3,19,1.1,87,1.34,0.55,1,0.18,1,20,Germany
epiforecasts-EpiExpert_Rt,inc death,3,DE,231,55,26,150,1.75,343,1.71,0.11,0.53,0.16,1,19,Germany
HZI-AgeExtendedSEIR,inc death,3,DE,77,34,7,37,0.62,168,0.59,0.68,1,0.17,1,25,Germany
MUNI-ARIMA,inc death,2,DE,86,51,6,29,1.07,143,1.27,0.58,1,0.14,1,19,Germany
epiforecasts-EpiExpert_Rt,inc death,4,DE,241,58,24,159,1.43,361,1.36,0.11,0.56,0.1,1,18,Germany
epiforecasts-EpiExpert_direct,inc death,3,DE,89,24,7,59,0.73,129,0.71,0.32,0.74,0.34,1,19,Germany
HZI-AgeExtendedSEIR,inc death,4,DE,101,43,4,55,0.69,196,0.55,0.72,1,0.22,1,24,Germany
epiforecasts-EpiExpert_direct,inc death,4,DE,98,27,9,61,0.68,142,0.64,0.39,0.72,0.32,1,18,Germany
MUNI-ARIMA,inc death,3,DE,114,64,12,38,1.09,197,1.29,0.65,1,0.06,1,17,Germany
MUNI-ARIMA,inc death,4,DE,145,80,17,48,1.18,241,1.31,0.56,1,0.08,1,16,Germany
EuroCOVIDhub-baseline,inc case,1,DK,778,176,302,300,1,1167,1,0.29,1,0.08,1,28,Denmark
EuroCOVIDhub-ensemble,inc case,1,DK,705,257,194,255,0.9,1047,0.9,0.5,0.79,0.07,1,28,Denmark
IEM_Health-CovidProject,inc case,1,DK,888,235,260,393,1.18,1173,1.03,0.39,0.61,0.22,1,28,Denmark
ILM-EKF,inc case,1,DK,996,286,312,397,1.38,1470,1.33,0.39,0.79,0.2,1,28,Denmark
LANL-GrowthRate,inc case,1,DK,718,289,200,229,0.95,966,0.84,0.59,0.85,-0.2,1,27,Denmark
USC-SIkJalpha,inc case,1,DK,1008,182,514,312,1.42,1232,1.12,0.21,0.36,-0.05,1,28,Denmark
EuroCOVIDhub-baseline,inc case,2,DK,1066,344,311,411,1,1687,1,0.44,1,-0.02,1,27,Denmark
EuroCOVIDhub-ensemble,inc case,2,DK,1146,420,259,467,1.09,1704,1.02,0.48,0.85,0.09,1,27,Denmark
IEM_Health-CovidProject,inc case,2,DK,1441,346,372,724,1.39,1918,1.15,0.33,0.56,0.19,1,27,Denmark
ILM-EKF,inc case,2,DK,1638,492,416,730,1.65,2400,1.51,0.33,0.78,0.23,1,27,Denmark
LANL-GrowthRate,inc case,2,DK,1162,420,312,431,1.19,1624,1.04,0.54,0.85,-0.09,1,26,Denmark
USC-SIkJalpha,inc case,2,DK,1533,198,863,473,1.58,1994,1.27,0.3,0.41,-0.06,1,27,Denmark
epiforecasts-EpiNow2,inc case,2,DK,1983,891,339,753,2.04,2837,1.81,0.48,0.85,0.01,1,27,Denmark
EuroCOVIDhub-baseline,inc case,3,DK,1288,480,351,457,1,2055,1,0.38,1,-0.01,1,26,Denmark
EuroCOVIDhub-ensemble,inc case,3,DK,1669,637,383,649,1.33,2401,1.19,0.46,0.81,0.15,1,26,Denmark
IEM_Health-CovidProject,inc case,3,DK,1927,498,491,938,1.55,2531,1.27,0.38,0.65,0.24,1,26,Denmark
ILM-EKF,inc case,3,DK,2463,783,554,1125,2.06,3575,1.86,0.42,0.77,0.25,1,26,Denmark
LANL-GrowthRate,inc case,3,DK,1537,542,467,528,1.3,2193,1.14,0.48,0.76,-0.03,1,25,Denmark
USC-SIkJalpha,inc case,3,DK,2184,229,1234,720,1.81,2834,1.45,0.12,0.19,-0.16,1,26,Denmark
epiforecasts-EpiNow2,inc case,3,DK,3552,1789,575,1188,3.12,4870,2.61,0.54,0.85,0.11,1,26,Denmark
EuroCOVIDhub-baseline,inc case,4,DK,1498,593,424,481,1,2408,1,0.48,1,-0.05,1,25,Denmark
EuroCOVIDhub-ensemble,inc case,4,DK,2141,871,508,763,1.46,3130,1.33,0.48,0.84,0.11,1,25,Denmark
IEM_Health-CovidProject,inc case,4,DK,2383,712,627,1044,1.66,3170,1.38,0.44,0.64,0.14,1,25,Denmark
ILM-EKF,inc case,4,DK,3589,1194,729,1665,2.67,5268,2.42,0.32,0.76,0.2,1,25,Denmark
LANL-GrowthRate,inc case,4,DK,1663,608,620,435,1.19,2421,1.07,0.33,0.79,-0.08,1,24,Denmark
USC-SIkJalpha,inc case,4,DK,2668,305,1501,863,1.9,3429,1.52,0.12,0.2,-0.15,1,25,Denmark
epiforecasts-EpiNow2,inc case,4,DK,5263,2589,804,1871,4.08,7679,3.64,0.4,0.84,0.07,1,25,Denmark
LANL-GrowthRate,inc case,5,DK,1707,637,680,390,NA,2594,NA,0.39,0.83,-0.07,1,23,Denmark
USC-SIkJalpha,inc case,5,DK,2933,398,1628,906,NA,3667,NA,0.25,0.29,-0.23,1,24,Denmark
LANL-GrowthRate,inc case,6,DK,1737,698,664,375,NA,2787,NA,0.41,0.91,-0.13,1,22,Denmark
MUNI-ARIMA,inc case,1,DK,555,209,236,110,0.7,847,0.72,0.45,0.9,0.02,1,20,Denmark
MUNI-ARIMA,inc case,2,DK,998,437,312,249,0.8,1497,0.75,0.58,0.89,0.03,1,19,Denmark
RobertWalraven-ESG,inc case,1,DK,854,126,431,297,1.14,1160,1,0.36,0.64,0.02,1,28,Denmark
MUNI-ARIMA,inc case,3,DK,1487,616,443,427,0.9,2317,0.88,0.47,0.94,0.02,1,17,Denmark
RobertWalraven-ESG,inc case,2,DK,1490,155,803,532,1.16,1792,1.05,0.19,0.63,-0.14,1,27,Denmark
MUNI-ARIMA,inc case,4,DK,1823,773,499,551,0.97,2993,0.99,0.38,1,0.02,1,16,Denmark
RobertWalraven-ESG,inc case,3,DK,2159,178,1203,778,1.26,2287,1.09,0.15,0.5,-0.28,1,26,Denmark
RobertWalraven-ESG,inc case,4,DK,2714,199,1610,905,1.37,2943,1.2,0.12,0.32,-0.34,1,25,Denmark
Karlen-pypm,inc case,1,DK,1000,466,122,412,1.33,1638,1.34,0.7,0.9,0.18,1,10,Denmark
Karlen-pypm,inc case,2,DK,1982,679,240,1064,1.86,3162,1.73,0.11,0.78,0.25,1,9,Denmark
Karlen-pypm,inc case,3,DK,3558,932,434,2193,2.46,5567,2.25,0.12,0.75,0.24,1,8,Denmark
Karlen-pypm,inc case,4,DK,5362,1269,509,3583,3.32,8257,2.98,0,0.71,0.16,1,7,Denmark
EuroCOVIDhub-baseline,inc death,1,DK,3,1,1,1,1,4,1,0.68,1,0.02,1,28,Denmark
EuroCOVIDhub-ensemble,inc death,1,DK,3,1,1,1,0.89,4,0.92,0.54,0.96,0.07,1,28,Denmark
IEM_Health-CovidProject,inc death,1,DK,3,1,1,1,1.02,4,1.04,0.32,0.68,-0.01,1,28,Denmark
ILM-EKF,inc death,1,DK,5,4,0,0,1.62,4,0.88,0.82,1,0.14,1,28,Denmark
LANL-GrowthRate,inc death,1,DK,2,1,1,0,0.78,3,0.75,0.56,0.96,-0.07,1,27,Denmark
RobertWalraven-ESG,inc death,1,DK,3,1,1,1,0.88,4,0.9,0.39,1,-0.04,1,28,Denmark
USC-SIkJalpha,inc death,1,DK,3,1,1,1,1.19,4,0.9,0.29,0.39,0.07,1,28,Denmark
EuroCOVIDhub-baseline,inc death,2,DK,4,3,0,0,1,4,1,0.85,1,-0.04,1,27,Denmark
EuroCOVIDhub-ensemble,inc death,2,DK,3,1,1,1,0.83,4,0.93,0.56,0.96,0.07,1,27,Denmark
IEM_Health-CovidProject,inc death,2,DK,3,1,1,1,0.77,5,1,0.48,0.89,-0.02,1,27,Denmark
ILM-EKF,inc death,2,DK,5,5,0,1,1.57,4,0.99,0.81,1,0.14,1,27,Denmark
LANL-GrowthRate,inc death,2,DK,3,1,1,1,0.86,4,1.06,0.5,0.85,-0.03,1,26,Denmark
RobertWalraven-ESG,inc death,2,DK,3,1,1,1,0.86,5,1.11,0.52,0.93,-0.14,1,27,Denmark
USC-SIkJalpha,inc death,2,DK,4,1,1,1,1.02,4,0.99,0.37,0.48,0.03,1,27,Denmark
epiforecasts-EpiNow2,inc death,2,DK,4,1,1,2,1.18,6,1.37,0.44,0.85,0.17,1,27,Denmark
EuroCOVIDhub-baseline,inc death,3,DK,4,4,0,0,1,5,1,0.92,1,-0.02,1,26,Denmark
EuroCOVIDhub-ensemble,inc death,3,DK,3,2,1,1,0.78,5,0.98,0.58,0.92,0.1,1,26,Denmark
IEM_Health-CovidProject,inc death,3,DK,5,1,1,2,1.11,7,1.54,0.31,0.88,-0.01,1,26,Denmark
ILM-EKF,inc death,3,DK,7,5,0,1,1.56,6,1.12,0.85,1,0.15,1,26,Denmark
LANL-GrowthRate,inc death,3,DK,4,1,2,1,0.84,5,1.14,0.32,0.72,-0.04,1,25,Denmark
RobertWalraven-ESG,inc death,3,DK,4,1,1,1,0.81,5,1.1,0.62,0.88,-0.17,1,26,Denmark
USC-SIkJalpha,inc death,3,DK,4,1,1,2,0.98,5,1.03,0.27,0.42,-0.04,1,26,Denmark
epiforecasts-EpiNow2,inc death,3,DK,5,2,1,3,1.26,8,1.66,0.35,0.85,0.23,1,26,Denmark
EuroCOVIDhub-baseline,inc death,4,DK,5,4,0,0,1,5,1,1,1,-0.03,1,25,Denmark
EuroCOVIDhub-ensemble,inc death,4,DK,4,2,1,1,0.83,6,1.1,0.56,0.88,0.12,1,25,Denmark
IEM_Health-CovidProject,inc death,4,DK,5,2,2,1,0.91,8,1.32,0.32,0.88,-0.07,1,25,Denmark
ILM-EKF,inc death,4,DK,8,6,0,1,1.65,7,1.14,0.76,1,0.19,1,25,Denmark
LANL-GrowthRate,inc death,4,DK,4,1,2,1,0.83,6,1.13,0.29,0.75,-0.03,1,24,Denmark
RobertWalraven-ESG,inc death,4,DK,4,2,2,1,0.79,6,1.18,0.64,0.92,-0.21,1,25,Denmark
UMass-MechBayes,inc death,1,DK,3,1,1,1,0.95,4,0.91,0.44,0.84,0.15,1,25,Denmark
USC-SIkJalpha,inc death,4,DK,5,1,2,2,0.96,6,1.11,0.28,0.48,0.01,1,25,Denmark
epiforecasts-EpiNow2,inc death,4,DK,7,3,1,3,1.54,11,1.94,0.32,0.88,0.29,1,25,Denmark
LANL-GrowthRate,inc death,5,DK,4,1,2,1,NA,6,NA,0.22,0.7,0.07,1,23,Denmark
UMass-MechBayes,inc death,2,DK,3,1,1,1,0.92,5,1.14,0.42,0.83,0.16,1,24,Denmark
USC-SIkJalpha,inc death,5,DK,6,1,2,3,NA,7,NA,0.33,0.42,0.07,1,24,Denmark
LANL-GrowthRate,inc death,6,DK,5,1,2,2,NA,7,NA,0.32,0.68,0.1,1,22,Denmark
UMass-MechBayes,inc death,3,DK,3,1,0,1,0.78,5,1.09,0.39,0.91,0.16,1,23,Denmark
UMass-MechBayes,inc death,4,DK,4,2,1,2,0.93,7,1.34,0.32,0.91,0.17,1,22,Denmark
MUNI-ARIMA,inc death,1,DK,3,1,1,1,1.08,5,1.2,0.35,1,0.06,1,20,Denmark
MUNI-ARIMA,inc death,2,DK,3,2,0,1,0.85,4,1.15,0.68,1,0.01,1,19,Denmark
MUNI-ARIMA,inc death,3,DK,3,2,1,0,0.9,5,1.26,0.65,1,-0.04,1,17,Denmark
MUNI-ARIMA,inc death,4,DK,4,3,1,1,0.83,5,1.2,0.69,1,-0.04,1,16,Denmark
Karlen-pypm,inc death,1,DK,3,1,2,0,1,4,0.88,0.4,0.9,-0.38,1,10,Denmark
Karlen-pypm,inc death,2,DK,3,1,2,0,1.02,4,1.14,0.33,0.89,-0.4,1,9,Denmark
Karlen-pypm,inc death,3,DK,4,1,3,0,0.91,6,1.22,0.25,0.75,-0.5,1,8,Denmark
Karlen-pypm,inc death,4,DK,5,1,3,1,0.96,8,1.58,0,0.86,-0.43,1,7,Denmark
EuroCOVIDhub-baseline,inc hosp,1,DK,16,8,6,1,1,21,1,0.57,1,-0.2,1,7,Denmark
EuroCOVIDhub-baseline,inc hosp,2,DK,28,15,12,1,1,41,1,0.5,1,-0.32,1,6,Denmark
EuroCOVIDhub-baseline,inc hosp,3,DK,40,20,18,1,1,68,1,0.6,1,-0.42,1,5,Denmark
Karlen-pypm,inc hosp,1,DK,26,8,18,0,1.38,36,1.36,0.4,0.6,-0.58,1,5,Denmark
EuroCOVIDhub-baseline,inc hosp,4,DK,47,24,23,0,NA,83,NA,0.25,1,-0.5,1,4,Denmark
Karlen-pypm,inc hosp,2,DK,37,8,28,0,1.19,48,1.05,0.25,0.75,-0.58,1,4,Denmark
Karlen-pypm,inc hosp,3,DK,44,9,35,0,1.19,52,0.88,0.33,0.67,-0.6,1,3,Denmark
EuroCOVIDhub-baseline,inc case,1,EE,364,43,70,251,1,490,1,0.25,0.86,0.08,1,28,Estonia
EuroCOVIDhub-ensemble,inc case,1,EE,234,131,24,79,0.64,337,0.66,0.54,0.96,0.08,1,28,Estonia
IEM_Health-CovidProject,inc case,1,EE,326,116,31,179,0.85,543,0.98,0.43,0.89,0.11,1,28,Estonia
ILM-EKF,inc case,1,EE,477,164,76,238,1.52,765,1.64,0.36,0.89,0.13,1,28,Estonia
LANL-GrowthRate,inc case,1,EE,267,124,102,41,0.8,450,0.93,0.44,0.96,-0.37,1,27,Estonia
USC-SIkJalpha,inc case,1,EE,429,208,117,104,1.14,635,1.18,0.29,0.54,0.14,1,28,Estonia
EuroCOVIDhub-baseline,inc case,2,EE,705,89,101,515,1,972,1,0.19,0.89,0.12,1,27,Estonia
EuroCOVIDhub-ensemble,inc case,2,EE,456,190,48,218,0.63,692,0.65,0.44,0.89,0.07,1,27,Estonia
IEM_Health-CovidProject,inc case,2,EE,682,157,67,459,0.9,1006,0.94,0.33,0.67,0.14,1,27,Estonia
ILM-EKF,inc case,2,EE,959,261,130,568,1.53,1487,1.59,0.19,0.78,0.12,1,27,Estonia
LANL-GrowthRate,inc case,2,EE,505,176,110,219,0.72,810,0.8,0.5,0.88,-0.25,1,26,Estonia
USC-SIkJalpha,inc case,2,EE,584,226,142,216,0.85,787,0.78,0.22,0.48,-0.07,1,27,Estonia
epiforecasts-EpiNow2,inc case,2,EE,569,195,103,271,0.98,826,0.89,0.44,0.81,-0.08,1,27,Estonia
EuroCOVIDhub-baseline,inc case,3,EE,1034,128,121,786,1,1407,1,0.15,0.81,0.2,1,26,Estonia
EuroCOVIDhub-ensemble,inc case,3,EE,757,261,81,416,0.71,1165,0.77,0.35,0.81,0.08,1,26,Estonia
IEM_Health-CovidProject,inc case,3,EE,1164,207,122,835,1.06,1600,1.05,0.35,0.58,0.14,1,26,Estonia
ILM-EKF,inc case,3,EE,1559,397,192,969,1.71,2354,1.73,0.19,0.69,0.1,1,26,Estonia
LANL-GrowthRate,inc case,3,EE,773,241,132,400,0.75,1130,0.76,0.4,0.76,-0.11,1,25,Estonia
USC-SIkJalpha,inc case,3,EE,769,239,196,334,0.85,904,0.66,0.19,0.38,-0.18,1,26,Estonia
epiforecasts-EpiNow2,inc case,3,EE,974,302,164,508,1.23,1434,1.12,0.31,0.77,-0.11,1,26,Estonia
EuroCOVIDhub-baseline,inc case,4,EE,1383,161,158,1065,1,1879,1,0.16,0.8,0.22,1,25,Estonia
EuroCOVIDhub-ensemble,inc case,4,EE,1060,336,112,612,0.75,1565,0.77,0.44,0.72,0.08,1,25,Estonia
IEM_Health-CovidProject,inc case,4,EE,1696,274,196,1226,1.18,2291,1.14,0.2,0.52,0.12,1,25,Estonia
ILM-EKF,inc case,4,EE,2177,582,260,1335,1.81,3241,1.8,0.16,0.68,0.04,1,25,Estonia
LANL-GrowthRate,inc case,4,EE,1066,280,189,596,0.79,1522,0.77,0.29,0.71,-0.01,1,24,Estonia
USC-SIkJalpha,inc case,4,EE,1013,271,295,447,0.89,1104,0.64,0.24,0.24,-0.16,1,25,Estonia
epiforecasts-EpiNow2,inc case,4,EE,1402,381,213,808,1.44,2094,1.31,0.24,0.64,-0.15,1,25,Estonia
LANL-GrowthRate,inc case,5,EE,1342,304,259,779,NA,1990,NA,0.22,0.65,0.09,1,23,Estonia
USC-SIkJalpha,inc case,5,EE,1205,295,363,547,NA,1369,NA,0.25,0.25,-0.16,1,24,Estonia
LANL-GrowthRate,inc case,6,EE,1651,345,353,952,NA,2419,NA,0.05,0.45,0.16,1,22,Estonia
MUNI-ARIMA,inc case,1,EE,126,54,40,33,0.74,211,0.84,0.4,1,-0.04,1,20,Estonia
MUNI-ARIMA,inc case,2,EE,198,103,47,49,0.6,278,0.59,0.68,1,-0.1,1,19,Estonia
RobertWalraven-ESG,inc case,1,EE,162,37,60,65,0.93,516,1.01,0.18,0.71,-0.11,1,28,Estonia
MUNI-ARIMA,inc case,3,EE,324,149,84,92,0.64,533,0.72,0.59,0.94,-0.14,1,17,Estonia
RobertWalraven-ESG,inc case,2,EE,347,46,194,108,1.1,963,0.97,0.07,0.41,-0.28,1,27,Estonia
MUNI-ARIMA,inc case,4,EE,380,184,115,80,0.55,613,0.6,0.56,1,-0.22,1,16,Estonia
RobertWalraven-ESG,inc case,3,EE,548,54,367,127,1.18,1373,0.97,0.04,0.35,-0.28,1,26,Estonia
RobertWalraven-ESG,inc case,4,EE,746,63,550,133,1.19,1694,0.93,0.08,0.32,-0.25,1,25,Estonia
Karlen-pypm,inc case,1,EE,198,140,9,50,1.02,263,0.86,0.6,1,0.15,1,10,Estonia
Karlen-pypm,inc case,2,EE,419,216,11,192,1.03,643,1.1,0.67,1,0.28,1,9,Estonia
Karlen-pypm,inc case,3,EE,862,343,3,516,1.29,1288,1.3,0.5,0.88,0.42,1,8,Estonia
Karlen-pypm,inc case,4,EE,1754,556,1,1198,1.92,2644,1.94,0.43,0.71,0.59,1,7,Estonia
EuroCOVIDhub-baseline,inc death,1,EE,4,1,1,2,1,6,1,0.36,0.89,0.03,1,28,Estonia
EuroCOVIDhub-ensemble,inc death,1,EE,3,2,1,1,0.71,4,0.7,0.68,1,0.08,1,28,Estonia
IEM_Health-CovidProject,inc death,1,EE,4,2,0,2,0.89,6,0.94,0.54,0.82,0.22,1,28,Estonia
ILM-EKF,inc death,1,EE,5,5,0,0,1.24,4,0.68,0.86,1,0.1,1,28,Estonia
LANL-GrowthRate,inc death,1,EE,5,1,2,2,1.24,8,1.38,0.26,0.78,0.06,1,27,Estonia
RobertWalraven-ESG,inc death,1,EE,4,1,1,2,0.92,5,0.92,0.43,0.75,-0.04,1,28,Estonia
USC-SIkJalpha,inc death,1,EE,4,1,1,2,0.93,5,0.84,0.39,0.5,0.12,1,28,Estonia
EuroCOVIDhub-baseline,inc death,2,EE,6,1,1,4,1,8,1,0.41,0.89,0.12,1,27,Estonia
EuroCOVIDhub-ensemble,inc death,2,EE,3,2,0,1,0.6,5,0.61,0.63,0.96,0.13,1,27,Estonia
IEM_Health-CovidProject,inc death,2,EE,6,2,1,3,1,8,0.96,0.52,0.78,0.23,1,27,Estonia
ILM-EKF,inc death,2,EE,6,5,0,1,0.95,5,0.51,0.85,1,0.13,1,27,Estonia
LANL-GrowthRate,inc death,2,EE,7,1,3,3,1.28,11,1.26,0.27,0.65,0.04,1,26,Estonia
RobertWalraven-ESG,inc death,2,EE,5,1,1,2,0.81,6,0.73,0.59,0.81,-0.1,1,27,Estonia
USC-SIkJalpha,inc death,2,EE,4,2,1,2,0.71,5,0.55,0.48,0.59,0.2,1,27,Estonia
epiforecasts-EpiNow2,inc death,2,EE,4,2,1,2,0.72,8,0.79,0.44,1,0.11,1,25,Estonia
EuroCOVIDhub-baseline,inc death,3,EE,9,2,1,6,1,12,1,0.38,0.77,0.18,1,26,Estonia
EuroCOVIDhub-ensemble,inc death,3,EE,4,2,0,2,0.53,6,0.53,0.58,0.85,0.17,1,26,Estonia
IEM_Health-CovidProject,inc death,3,EE,8,3,1,4,0.94,12,0.95,0.46,0.77,0.22,1,26,Estonia
ILM-EKF,inc death,3,EE,7,6,0,1,0.76,7,0.46,0.85,1,0.15,1,26,Estonia
LANL-GrowthRate,inc death,3,EE,9,2,3,4,1.09,13,1.1,0.2,0.64,-0,1,25,Estonia
RobertWalraven-ESG,inc death,3,EE,6,1,2,3,0.73,7,0.62,0.65,0.77,-0.08,1,26,Estonia
USC-SIkJalpha,inc death,3,EE,5,2,1,2,0.58,6,0.49,0.5,0.58,0.25,1,26,Estonia
epiforecasts-EpiNow2,inc death,3,EE,6,2,1,3,0.64,9,0.66,0.58,1,0.1,1,24,Estonia
EuroCOVIDhub-baseline,inc death,4,EE,11,2,1,8,1,15,1,0.4,0.76,0.24,1,25,Estonia
EuroCOVIDhub-ensemble,inc death,4,EE,5,3,0,2,0.5,8,0.52,0.56,0.88,0.21,1,25,Estonia
IEM_Health-CovidProject,inc death,4,EE,11,4,1,6,1.03,17,1.05,0.4,0.8,0.2,1,25,Estonia
ILM-EKF,inc death,4,EE,8,6,0,2,0.75,11,0.54,0.76,0.96,0.17,1,25,Estonia
LANL-GrowthRate,inc death,4,EE,8,2,2,5,0.88,12,0.81,0.29,0.62,0.05,1,24,Estonia
RobertWalraven-ESG,inc death,4,EE,7,1,2,3,0.68,9,0.59,0.52,0.72,-0.05,1,25,Estonia
UMass-MechBayes,inc death,1,EE,3,1,1,1,0.71,4,0.8,0.48,1,0.09,1,25,Estonia
USC-SIkJalpha,inc death,4,EE,5,2,1,2,0.49,6,0.38,0.44,0.72,0.17,1,25,Estonia
epiforecasts-EpiNow2,inc death,4,EE,7,3,1,3,0.62,10,0.59,0.65,0.91,0.12,1,23,Estonia
LANL-GrowthRate,inc death,5,EE,9,3,2,5,NA,13,NA,0.17,0.57,0.17,1,23,Estonia
UMass-MechBayes,inc death,2,EE,2,1,0,1,0.48,3,0.47,0.58,1,0.12,1,24,Estonia
USC-SIkJalpha,inc death,5,EE,7,3,1,3,NA,9,NA,0.46,0.54,0.16,1,24,Estonia
LANL-GrowthRate,inc death,6,EE,12,3,2,7,NA,16,NA,0.27,0.59,0.32,1,22,Estonia
UMass-MechBayes,inc death,3,EE,3,1,1,1,0.48,5,0.51,0.48,1,0.18,1,23,Estonia
UMass-MechBayes,inc death,4,EE,3,1,0,1,0.39,4,0.37,0.55,0.95,0.27,1,22,Estonia
MUNI-ARIMA,inc death,1,EE,2,1,1,1,0.93,4,1.12,0.55,1,-0.02,1,20,Estonia
MUNI-ARIMA,inc death,2,EE,3,1,1,1,1,5,1.08,0.47,0.89,-0,1,19,Estonia
MUNI-ARIMA,inc death,3,EE,4,1,1,2,0.85,6,1,0.41,0.94,-0.08,1,17,Estonia
MUNI-ARIMA,inc death,4,EE,4,1,1,2,0.77,8,0.94,0.31,1,-0.07,1,16,Estonia
Karlen-pypm,inc death,1,EE,1,1,1,0,0.85,2,0.97,0.5,1,-0.24,1,10,Estonia
Karlen-pypm,inc death,2,EE,2,1,1,0,0.7,3,0.67,0.44,1,-0.3,1,9,Estonia
Karlen-pypm,inc death,3,EE,2,1,1,0,0.58,3,0.63,0.5,1,-0.22,1,8,Estonia
Karlen-pypm,inc death,4,EE,2,1,1,0,0.4,3,0.43,0.57,1,-0.17,1,7,Estonia
EuroCOVIDhub-baseline,inc hosp,1,EE,13,4,8,0,1,20,1,0.29,1,-0.6,1,7,Estonia
EuroCOVIDhub-baseline,inc hosp,2,EE,18,7,11,0,1,32,1,0,1,-0.68,1,6,Estonia
EuroCOVIDhub-baseline,inc hosp,3,EE,27,9,18,0,1,49,1,0.2,1,-0.72,1,5,Estonia
Karlen-pypm,inc hosp,1,EE,9,6,1,1,0.64,15,0.67,1,1,-0.06,1,5,Estonia
EuroCOVIDhub-baseline,inc hosp,4,EE,32,11,21,0,NA,60,NA,0,1,-0.75,1,4,Estonia
Karlen-pypm,inc hosp,2,EE,19,10,1,7,0.94,30,0.83,0.5,1,0.07,1,4,Estonia
Karlen-pypm,inc hosp,3,EE,35,16,0,18,1.14,58,1.05,0.67,1,0.3,1,3,Estonia
EuroCOVIDhub-baseline,inc case,1,ES,10573,2669,4422,3483,1,15455,1,0.4,0.96,0.13,1,25,Spain
EuroCOVIDhub-ensemble,inc case,1,ES,9492,3942,2932,2618,0.88,13664,0.88,0.68,0.92,-0.02,1,25,Spain
IEM_Health-CovidProject,inc case,1,ES,11960,3052,3708,5201,1.1,18522,1.17,0.2,0.88,0.21,1,25,Spain
ILM-EKF,inc case,1,ES,16034,1881,3839,10314,1.45,19628,1.22,0.5,0.71,0.2,1,24,Spain
LANL-GrowthRate,inc case,1,ES,14026,5994,6130,1902,1.2,19471,1.13,0.62,0.92,-0.36,1,24,Spain
USC-SIkJalpha,inc case,1,ES,13867,3726,6470,3671,1.3,16357,1.05,0.36,0.64,-0.13,1,25,Spain
EuroCOVIDhub-baseline,inc case,2,ES,20094,5048,8537,6509,1,29826,1,0.38,0.96,0.1,1,24,Spain
EuroCOVIDhub-ensemble,inc case,2,ES,20549,6560,7145,6844,1.03,30533,1.03,0.58,0.92,0.05,1,24,Spain
IEM_Health-CovidProject,inc case,2,ES,26148,4575,9665,11908,1.28,37047,1.24,0.17,0.62,0.22,1,24,Spain
ILM-EKF,inc case,2,ES,45415,3901,8940,32573,2.2,55300,1.79,0.26,0.48,0.25,1,23,Spain
LANL-GrowthRate,inc case,2,ES,24004,7734,11382,4888,1.16,34453,1.12,0.58,0.88,-0.29,1,24,Spain
USC-SIkJalpha,inc case,2,ES,26803,4795,13175,8833,1.33,33152,1.11,0.25,0.54,-0.11,1,24,Spain
epiforecasts-EpiNow2,inc case,2,ES,26662,15094,7033,4534,1.16,36576,1.12,0.7,0.96,-0.18,1,23,Spain
EuroCOVIDhub-baseline,inc case,3,ES,28722,6932,12278,9513,1,42957,1,0.43,0.91,0.12,1,23,Spain
EuroCOVIDhub-ensemble,inc case,3,ES,35465,9530,11376,14559,1.28,51287,1.22,0.52,0.78,0.16,1,23,Spain
IEM_Health-CovidProject,inc case,3,ES,40589,6545,15479,18565,1.41,56149,1.31,0.17,0.43,0.25,1,23,Spain
ILM-EKF,inc case,3,ES,87895,7228,13231,67436,3.11,106716,2.51,0.22,0.48,0.27,1,23,Spain
LANL-GrowthRate,inc case,3,ES,32559,9995,17309,5255,1.08,42570,0.93,0.55,0.86,-0.21,1,22,Spain
UNED-PreCoV2,inc case,1,ES,11349,9365,1707,278,1,9713,0.6,0.91,1,-0.14,1,25,Spain
USC-SIkJalpha,inc case,3,ES,41137,6074,19767,15296,1.44,49671,1.16,0.26,0.52,-0.16,1,23,Spain
epiforecasts-EpiNow2,inc case,3,ES,41142,20381,12174,8587,1.3,57782,1.24,0.64,0.91,-0.2,1,22,Spain
EuroCOVIDhub-baseline,inc case,4,ES,34690,8490,14086,12115,1,51817,1,0.45,0.86,0.09,1,22,Spain
EuroCOVIDhub-ensemble,inc case,4,ES,53622,12895,14173,26554,1.63,76278,1.52,0.36,0.77,0.18,1,22,Spain
IEM_Health-CovidProject,inc case,4,ES,50268,9042,18934,22292,1.46,70654,1.37,0.18,0.45,0.18,1,22,Spain
